batch_size,remove_accidental_hits,dropout,normalize,temperature,fase,epoca,cos_recall10,cos_recall50,cos_recall100,cos_mrr,dot_recall100,loss
1024,False,0.2,False,,A,1,0.021,0.109,0.196,0.0123951904854028,0.287,165.8869171142578
1024,False,0.2,False,,A,2,0.024,0.1015,0.17,0.0127723917762754,0.305,164.7512969970703
1024,False,0.2,False,,A,3,0.016,0.072,0.1285,0.008320435514956,0.3115,156.9998016357422
1024,False,0.2,False,,A,4,0.012,0.064,0.1205,0.0067651609041806,0.309,166.0449676513672
1024,False,0.2,False,,A,5,0.0075,0.049,0.1015,0.0061067302984996,0.3075,161.04107666015625
1024,False,0.0,False,,A,1,0.022,0.11,0.1805,0.0126458463609879,0.2945,166.7774200439453
1024,False,0.0,False,,A,2,0.0275,0.113,0.1835,0.015197971270402,0.303,162.1487274169922
1024,False,0.0,False,,A,3,0.0215,0.102,0.1685,0.011640118443955,0.313,152.3133087158203
1024,False,0.0,False,,A,4,0.0205,0.0955,0.166,0.0097209741449771,0.3235,160.18179321289062
1024,False,0.0,False,,A,5,0.015,0.0835,0.1575,0.00856436802022,0.312,164.46192932128906
1024,False,0.0,False,,A,6,0.014,0.0805,0.152,0.0090392409524776,0.315,150.89804077148438
1024,True,0.2,False,,A,1,0.0445,0.1585,0.2395,0.0208795153537719,0.292,165.38343811035156
1024,True,0.2,False,,A,2,0.043,0.1485,0.244,0.0211082808762737,0.3135,162.33682250976562
1024,True,0.2,False,,A,3,0.035,0.1385,0.2075,0.0166449110836247,0.3135,153.7218780517578
1024,True,0.2,False,,A,4,0.0205,0.1055,0.1805,0.0128053751290328,0.3215,155.87533569335938
1024,True,0.2,False,,A,5,0.015,0.0835,0.1555,0.0090918030421007,0.314,156.15577697753906
1024,True,0.2,False,,A,6,0.014,0.076,0.1395,0.0082962103908213,0.3145,141.67877197265625
1024,True,0.0,False,,A,1,0.033,0.127,0.212,0.0187348106603691,0.291,163.18589782714844
1024,True,0.0,False,,A,2,0.031,0.123,0.193,0.0173750248178641,0.3035,160.31021118164062
1024,True,0.0,False,,A,3,0.033,0.127,0.206,0.0156033698008133,0.314,153.4306182861328
1024,True,0.0,False,,A,4,0.031,0.116,0.1935,0.0141345226178939,0.3105,155.41575622558594
1024,True,0.0,False,,A,5,0.0325,0.1195,0.1985,0.0146127724247437,0.311,161.3817138671875
4096,False,0.2,False,,A,1,0.017,0.0775,0.1345,0.0091171911415092,0.29,23319.126953125
4096,False,0.2,False,,A,2,0.016,0.0725,0.122,0.0095515147562996,0.3045,22894.587890625
4096,False,0.2,False,,A,3,0.0165,0.078,0.1325,0.0100554107937532,0.314,22628.353515625
4096,False,0.2,False,,A,4,0.0155,0.067,0.117,0.0093660326465427,0.3195,22396.453125
4096,False,0.2,False,,A,5,0.012,0.0585,0.107,0.0076074700711205,0.315,22106.59765625
4096,False,0.2,False,,A,6,0.011,0.053,0.103,0.0073085974419358,0.3135,21909.208984375
4096,False,0.0,False,,A,1,0.022,0.0895,0.156,0.0118540637545928,0.2865,23402.595703125
4096,False,0.0,False,,A,2,0.015,0.0635,0.1155,0.0089427184280182,0.284,23028.279296875
4096,False,0.0,False,,A,3,0.0245,0.087,0.153,0.0127649263118275,0.3065,22781.732421875
4096,False,0.0,False,,A,4,0.023,0.0935,0.163,0.0108693227183111,0.317,22460.142578125
4096,False,0.0,False,,A,5,0.0165,0.0825,0.137,0.0099793833754162,0.315,22250.466796875
4096,False,0.0,False,,A,6,0.0165,0.0685,0.1275,0.0096212730370836,0.3185,22013.744140625
4096,False,0.0,False,,A,7,0.013,0.058,0.1065,0.0075906285591829,0.314,21975.265625
4096,False,0.0,False,,A,8,0.0115,0.05,0.0995,0.0074484547960325,0.3175,21819.6015625
4096,True,0.2,False,,A,1,0.012,0.051,0.1055,0.0071845490769096,0.285,23315.205078125
4096,True,0.2,False,,A,2,0.011,0.0575,0.0965,0.0066193836284168,0.2885,22983.0703125
4096,True,0.2,False,,A,3,0.0205,0.0835,0.138,0.0105640728404955,0.3055,22746.6875
4096,True,0.2,False,,A,4,0.0155,0.0685,0.1295,0.008544538192061,0.315,22427.69921875
4096,True,0.2,False,,A,5,0.008,0.0445,0.0905,0.0067362816612755,0.308,22172.861328125
4096,True,0.2,False,,A,6,0.007,0.0305,0.0635,0.0047891663112107,0.3095,21912.30859375
4096,True,0.0,False,,A,1,0.0035,0.0255,0.0465,0.0030293587023915,0.2865,23477.5703125
4096,True,0.0,False,,A,2,0.001,0.0125,0.02,0.0012509025583115,0.2735,23254.25390625
4096,True,0.0,False,,A,3,0.0095,0.038,0.067,0.0057372021616348,0.301,22809.59375
4096,True,0.0,False,,A,4,0.0115,0.053,0.0985,0.0073535662167527,0.3165,22506.587890625
