poblacion,semilla_id,semilla_desc,semilla_familia,top_k_desc
semillas observadas en entrenamiento,PE-SI5152,SIKA BOOM 500ML.ESPUM.EXPANS.,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | ANTICORR.DURAC.GRIS MATE.CNC | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #8 DON BRILLO 10 UND
semillas observadas en entrenamiento,5539534960,NORTON LIJA ESTEARATO  600,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #5 DON BRILLO 10 UND | ADITEC BETONCRYL 1 K | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | TORN. AUTOP. C/ARAN. 10X1
semillas observadas en entrenamiento,PT070101,ESTRELLA CERA AMARILLA 720ML,FERRETERIA,ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | VIRUTA #6 DON BRILLO 10 UND | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #5 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.GRIS MATE LTRO. | ANTICORR.DURAC.BLANCO BRIL GLN
semillas observadas en entrenamiento,CE10004,LACA PLAS CATAL TRANS MATE LT,FERRETERIA,PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE GLN. | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | ADITEC BETONCRYL 1 K
semillas observadas en entrenamiento,30002001,RIVAL TERMF UNION A/C 20MM,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #5 DON BRILLO 10 UND | BROCA ITALY/ALMAN CONCRET 3/8 | BROCA ITALY/ALMAN CONCRET 1/4 | ANTICORR.DURAC.NEGRO MATE GLN.
semillas observadas en entrenamiento,SPS-50KG110LB,BALANZA CAMRY MOST 50KRC AC/IN,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | ADITEC BETONCRYL 1 K
semillas observadas en entrenamiento,VA-HW1-0097,NAVAJ AUT.AC.INOX.C/LINT TAURU,HOGAR BAZAR,"VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2 | BROCA DE TITANIUM 5/32"" | ANTICORR.DURAC.NEGRO MATE GLN."
semillas observadas en entrenamiento,5494920131,CERM SL CONCRETO BEIGE 45X45,CERAMICA,DECORLAC SELLADOR CAT.GL | VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | CILINDRO GLP 15KG-AGIPGAS | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC FOND.CAT.BLANCO LITRO | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8
semillas observadas en entrenamiento,HB-KH-317,IMP MASCT BOZAL 8X28CM,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC FOND.CAT.BLANCO LITRO | BROCA ITALY/ALMAN CONCRET 1/4
semillas observadas en entrenamiento,LH02-150,CARRO D COMPRA PLEGABLE,SIN_CATEGORIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | CILINDRO GLP 15KG-AGIPGAS | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CAT.GL | TORNILLO MDF 8X1-1/2 | BROCA ITALY/ALMAN CONCRET 3/8 | TORN. AUTOP. C/ARAN. 10X1
semillas observadas en entrenamiento,HE-DI027,DISC.NORT COT.MET.7X1/8X7/8CD,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #8 DON BRILLO 10 UND | ANTICORR.DURAC.BLANCO BRIL GLN
